review_id,product,rating,review_text,clean_review,sentiment,label,review_type
1,Fitness Tracker,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
2,Fitness Tracker,4,Good value for money.,good value for money.,Positive,2,Genuine
3,Fitness Tracker,1,Battery life could be better.,battery life could be better.,Negative,0,Genuine
4,Wireless Earbuds,5,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
5,Smartphone Case,4,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
6,Mechanical Keyboard,4,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
7,Smartphone Case,2,Works as advertised.,works as advertised.,Negative,0,Genuine
8,Fitness Tracker,2,Battery life could be better.,battery life could be better.,Negative,0,Genuine
9,Gaming Mouse,5,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Positive,2,Genuine
10,Wireless Earbuds,1,Would not buy again.,would not buy again.,Negative,0,Genuine
11,Fitness Tracker,1,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
12,Smartwatch,1,Good value for money.,good value for money.,Negative,0,Genuine
13,Portable Charger,5,Would not buy again.,would not buy again.,Positive,2,Genuine
14,Mechanical Keyboard,4,Battery life could be better.,battery life could be better.,Positive,2,Genuine
15,Gaming Mouse,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
16,Gaming Mouse,1,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
17,Smartwatch,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
18,Fitness Tracker,2,"Average product, expected better.","average product, expected better.",Negative,0,Genuine
19,Gaming Mouse,4,"Average product, expected better.","average product, expected better.",Positive,2,Genuine
20,Smartwatch,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
21,Mechanical Keyboard,1,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Negative,0,Genuine
22,Bluetooth Speaker,4,Not satisfied with the build quality.,not satisfied with the build quality.,Positive,2,Genuine
23,Bluetooth Speaker,3,Exceeded my expectations!,exceeded my expectations!,Neutral,1,Genuine
24,Portable Charger,3,Excellent quality and fast delivery.,excellent quality and fast delivery.,Neutral,1,Genuine
25,Mechanical Keyboard,2,Not satisfied with the build quality.,not satisfied with the build quality.,Negative,0,Genuine
26,Laptop Stand,4,Would not buy again.,would not buy again.,Positive,2,Genuine
27,Wireless Earbuds,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
28,Mechanical Keyboard,3,Good value for money.,good value for money.,Neutral,1,Genuine
29,Laptop Stand,5,"Five stars, very happy with this purchase.","five stars, very happy with this purchase.",Positive,2,Genuine
30,Smartphone Case,2,Exceeded my expectations!,exceeded my expectations!,Negative,0,Genuine
31,Wireless Earbuds,3,Battery life could be better.,battery life could be better.,Neutral,1,Genuine
32,Fitness Tracker,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
33,LED Monitor,2,Works as advertised.,works as advertised.,Negative,0,Genuine
34,Gaming Mouse,3,Works as advertised.,works as advertised.,Neutral,1,Genuine
35,Wireless Earbuds,3,Would not buy again.,would not buy again.,Neutral,1,Genuine
36,Gaming Mouse,1,"Amazing performance, highly recommend.","amazing performance, highly recommend.",Negative,0,Genuine
